# Unregistered IVSes: 479 Default + 506 Non-Default
227DF E0100; u227DF
227DF E0101; uF01C5
227E6 E0100; u227E6
227E6 E0101; uF01CB
228E7 E0100; u228E7
228E7 E0101; uF1C73
22AEB E0100; u22AEB
22AEB E0101; uF1E77
22B04 E0100; u22B04
22B04 E0101; uF01E6
22B51 E0100; u22B51
22B51 E0101; uF13BE
22D1E E0100; u22D1E
22D1E E0101; uF0225
22DA2 E0100; u22DA2
22DA2 E0101; uF0231
22DA2 E0102; uF18BC
22DB7 E0100; u22DB7
22DB7 E0101; uF231A
22DB8 E0100; u22DB8
22DB8 E0101; uF074A
22E1A E0100; u22E1A
22E1A E0101; uF0241
22EBA E0100; u22EBA
22EBA E0101; uF0BDE
2301F E0100; u2301F
2301F E0101; uF182C
231AE E0100; u231AE
231AE E0101; uF2127
23230 E0100; u23230
23230 E0101; uF025B
23259 E0100; u23259
23259 E0101; uF0964
232C6 E0100; u232C6
232C6 E0101; uF0271
232FD E0100; u232FD
232FD E0101; uF07ED
2330B E0100; u2330B
2330B E0101; uF0279
2330B E0102; uF027A
2330B E0103; uF08D1
2333A E0100; u2333A
2333A E0101; uF0C8E
23341 E0100; u23341
23341 E0101; uF0B3B
2338A E0100; u2338A
2338A E0101; uF0F96
23432 E0100; u23432
23432 E0101; uF0291
2366C E0100; u2366C
2366C E0101; uF0B7E
2366C E0102; uF1D33
23730 E0100; u23730
23730 E0101; uF1568
23BE1 E0100; u23BE1
23BE1 E0101; uF0B7F
23C19 E0100; u23C19
23C19 E0101; uF02C4
23C25 E0100; u23C25
23C25 E0101; uF0B67
23C34 E0100; u23C34
23C34 E0101; uF0B85
23C35 E0100; u23C35
23C35 E0101; uF0B68
23C6D E0100; u23C6D
23C6D E0101; uF02C6
23D6E E0100; u23D6E
23D6E E0101; uF02D2
23E32 E0100; u23E32
23E32 E0101; uF02E2
23F38 E0100; u23F38
23F38 E0101; uF2560
24058 E0100; u24058
24058 E0101; uF19EA
2412F E0100; u2412F
2412F E0101; uF0B81
24132 E0100; u24132
24132 E0101; uF1D22
